,POS  ,
,Vol ,Val (N'Mil)
Jan-09,"89,349","1,440.00"
Feb-09,"77,820","1,080.00"
Mar-09,"84,616",990.00
Apr-09,"93,516",960.00
May-09,"57,385",880.00
Jun-09,"87,486",910.00
Jul-09,"61,821",870.00
Aug-09,"74,462",820.00
Sep-09,"73,734",790.00
Oct-09,"77,631",790.00
Nov-09,"72,164",700.00
Dec-09,"68,272",800.00
Jan-10,"79,450",810.00
Feb-10,"79,826",920.00
Mar-10,"94,208","1,040.00"
Apr-10,"83,252",880.00
May-10,"77,582",880.00
Jun-10,"76,601",910.00
Jul-10,"88,047",890.00
Aug-10,"84,492",890.00
Sep-10,"84,098","1,020.00"
Oct-10,"97,081","1,330.00"
Nov-10,"99,193","1,410.00"
Dec-10,"128,596","1,740.00"
Jan-11,"131,069","1,900.00"
Feb-11,"114,680","2,070.00"
Mar-11,"137,792","2,310.00"
Apr-11,"125,485","1,870.00"
May-11,"141,123","2,230.00"
Jun-11,"158,966","2,350.00"
Jul-11,"184,388","2,800.00"
Aug-11,"203,293","2,800.00"
Sep-11,"202,965","3,040.00"
Oct-11,"214,571","3,070.00"
Nov-11,"223,726","3,040.00"
Dec-11,"262,615","3,540.00"
Jan-12,"1,956",38.57
Feb-12,"24,648",369.88
Mar-12,"92,016","1,456.92"
Apr-12,"114,495","2,057.59"
May-12,"178,524","3,130.74"
Jun-12,"192,154","3,549.78"
Jul-12,"236,155","4,552.44"
Aug-12,"269,841","5,077.00"
Sep-12,"261,862","5,119.83"
Oct-12,"330,166","6,083.30"
Nov-12,"375,091","7,142.15"
Dec-12,"478,137","9,430.10"
Jan-13,"456,490","8,580.20"
Feb-13,"441,961","7,972.50"
Mar-13,"536,554","9,732.25"
Apr-13,"494,953","8,911.66"
May-13,"603,786","10,870.77"
Jun-13,"674,044","11,159.05"
Jul-13,"749,879","13,591.81"
Aug-13,"836,532","14,264.72"
Sep-13,"923,502","15,289.34"
Oct-13,"1,062,697","17,841.31"
Nov-13,"1,155,703","17,976.55"
Dec-13,"1,466,154","24,826.17"
Jan-14,"1,349,561","22,324.21"
Feb-14,"1,433,005","20,728.95"
Mar-14,"1,576,671","24,414.64"
Apr-14,"1,624,564","24,098.04"
May-14,"1,362,120","21,382.95"
Jun-14,"1,625,580","24,771.00"
Jul-14,"1,758,646","27,371.46"
Aug-14,"1,503,414","23,346.92"
Sep-14,"1,867,266","27,283.05"
Oct-14,"1,988,644","28,154.26"
Nov-14,"2,091,087","28,772.14"
Dec-14,"2,636,865","39,424.11"
Jan-15,"2,267,257","31,799.81"
Feb-15,"2,338,113","30,973.50"
Mar-15,"2,605,160","33,541.57"
Apr-15,"2,560,973","34,629.68"
May-15,"2,655,153","35,928.88"
Jun-15,"2,497,385","34,010.08"
Jul-15,"2,682,200","36,973.08"
Aug-15,"2,729,286","35,838.74"
Sep-15,"3,013,482","39,613.15"
Oct-15,"3,247,610","41,504.89"
Nov-15,"3,177,593","40,246.58"
Dec-15,"3,946,721","53,452.59"
Jan-16,"3,599,828","46,652.94"
Feb-16,"3,833,884","46,143.55"
Mar-16,"4,311,844","51,963.82"
Apr-16,"4,463,599","53,283.82"
May-16,"4,554,184","55,136.49"
Jun-16,"4,574,266","55,291.70"
Jul-16,"5,071,228","59,397.37"
Aug-16,"5,370,856","64,106.38"
Sep-16,"5,586,031","66,443.25"
Oct-16,"6,378,199","71,812.92"
Nov-16,"6,976,520","81,146.30"
Dec-16,"8,994,764","107,617.96"
Jan-17,"7,946,772","91,291.93"
Feb-17,"8,606,875","90,201.36"
Mar-17,"10,093,335","104,484.01"
Apr-17,"10,420,611","104,836.41"
May-17,"11,133,486","111,632.82"
Jun-17,"11,220,631","107,662.31"
Jul-17,"12,737,874","116,575.10"
Aug-17,"13,276,810","124,395.45"
Sep-17,"13,295,500","123,579.34"
Oct-17,"15,052,573","132,393.32"
Nov-17,"15,425,224","135,182.01"
Dec-17,"17,057,465","167,579.02"
Jan-18,"16,102,962","152,099.69"
Feb-18,"16,731,362","144,876.03"
Mar-18,"20,728,441","177,755.62"
Apr-18,"20,751,162","172,313.93"
May-18,"23,180,315","189,483.70"
Jun-18,"23,298,442","181,827.92"
Jul-18,"26,990,305","199,520.14"
Aug-18,"29,885,436","227,505.82"
Sep-18,"29,162,526","223,380.64"
Oct-18,"27,727,169","212,368.60"
Nov-18,"29,405,429","230,026.80"
Dec-18,"31,926,618","271,950.01"
Jan-19,"28,162,746","222,921.88"
Feb-19,"25,778,644","193,425.96"
Mar-19,"29,820,754","217,457.83"
Apr-19,"33,368,778","246,096.87"
May-19,"35,466,679","257,731.40"
Jun-19,"35,097,558","245,990.04"
Jul-19,"39,224,406","279,474.58"
Aug-19,"41,379,830","294,035.91"
Sep-19,"40,740,772","283,352.85"
Oct-19,"41,602,024","287,750.00"
Nov-19,"41,833,763","303,828.68"
Dec-19,"46,138,228","372,687.22"
Jan-20,"41,305,041","313,427.41"
Feb-20,"46,071,669","326,029.63"
Mar-20,"52,249,019","368,855.63"
Apr-20,"40,859,206","272,052.94"
May-20,"48,371,074","358,104.38"
Jun-20,"49,421,986","364,756.69"
Jul-20,"53,904,356","416,726.78"
Aug-20,"50,663,508","386,350.62"
Sep-20,"58,052,877","404,904.01"
Oct-20,"68,411,116","460,950.92"
Nov-20,"68,537,758","480,550.32"
Dec-20,"77,900,738","574,367.48"
Jan-21,"166,546,211","1,306,012.00"
Feb-21,"168,162,994","1,387,850.66"
Mar-21,"195,177,520","1,723,696.49"
Apr-21,"197,585,215","1,708,364.93"
May-21,"201,456,699","1,877,007.49"
Jun-21,"208,950,835","1,955,258.57"
Jul-21,"244,538,092","2,318,350.66"
Aug-21,"247,788,465","2,016,175.18"
Sep-21,"262,255,605","2,089,077.45"
Oct-21,"267,763,607","2,167,178.10"
Nov-21,"263,623,768","2,546,433.93"
Dec-21,"319,706,830","3,360,010.75"
Jan-22,"281,768,025","2,687,636.79"
Feb-22,"272,708,388","2,227,929.09"
Mar-22,"308,127,187","2,570,714.94"
Apr-22,"301,231,621","2,788,687.19"
May-22,"315,384,811","3,102,622.62"
Jun-22,"229,818,539","2,486,493.53"
Jul-22,"326,784,776","3,247,877.80"
Aug-22,"332,035,771","3,601,854.84"
Sep-22,"324,757,554","3,435,248.92"
Oct-22,"330,790,416","3,424,411.65"
Nov-22,"407,949,035","5,160,653.56"
Dec-22,"454,425,942","6,301,670.40"
Jan-23,"429,769,455","5,283,906.21"
Feb-23,"745,271,721","7,375,942.51"
Mar-23,"1,223,489,902","10,624,294.61"
Apr-23,"860,218,019","8,548,269.16"
May-23,806928190,"8,304,786"
Jun-23,"806,602,094","8,307,667.65"
Jul-23,"762,816,332","8,324,098.77"
Aug-23,"774,317,861","9,100,403.34"
Sep-23,"788,788,600","9,397,552.36"
Oct-23,"847,817,923","10,599,366.37"
Nov-23,"863,521,791","11,283,501.41"
Dec-23,"937,716,612","13,197,314.50"
Jan-24,"946,445,444","11,500,783.12"
Feb-24,"932,759,528","12,461,668.27"
Mar-24,"1,016,442,004","14,731,414.84"
Apr-24,"976,824,085","13,744,245.69"
May-24,"1,001,401,098","13,907,491.46"
Jun-24,"1,521,798,412","19,569,101.42"
Jul-24,"1,043,600,129","15,241,744.78"
Aug-24,"1,079,308,513","18,897,321.71"
Sep-24,"1,010,869,735","19,691,288.06"
Oct-24,"1,012,875,448","22,270,713.95"
Nov-24,"1,278,849,223","29,415,711.65"
Dec-24,"1,254,159,158","31,841,337.26"
Jan-25,"1,206,299,927","26,577,456.70"
Feb-25,"1,152,223,963","21,904,013.02"
Mar-25,"1,280,741,034","22,501,504.97"
Apr-25,"1,291,887,446","24,499,761.39"
May-25,"1,405,707,434","26,055,578.65"
Jun-25,"1,386,426,046","25,660,722.22"
